"","x"
"636",7
"637",6
"638",5
"639",1565
"640",2750
"641",1863
"642",1800
"643",1600
"644",1573
"645",1514
"646",1500
"647",1198
"648",1159
"649",1024
"650",1021
"651",1012
"652",1000
"653",1000
"654",1000
"655",900
"656",900
"657",894
"658",852
"659",844
"660",832
"661",829
"662",826
"663",800
"664",746
"665",741
"666",737
"667",736
"668",731
"669",702
"670",673
"671",640
"672",627
"673",625
"674",608
"675",600
"676",600
"677",600
"678",583
"679",580
"680",575
"681",570
"682",565
"683",564
"684",558
"685",550
"686",546
"687",533
"688",528
"689",520
"690",500
"691",500
"692",500
"693",500
"694",498
"695",497
"696",496
"697",491
"698",488
"699",481
"700",480
"701",480
"702",473
"703",469
"704",464
"705",461
"706",459
"707",450
"708",445
"709",442
"710",438
"711",432
"712",429
"713",423
"714",420
"715",400
"716",400
"717",400
"718",400
"719",397
"720",387
"721",387
"722",392
"723",389
"724",389
"725",380
"726",380
"727",376
"728",372
"729",364
"730",361
"731",360
"732",350
"733",358
"734",358
"735",357
"736",355
"737",353
"738",350
"739",347
"740",343
"741",340
"742",340
"743",338
"744",334
"745",325
"746",319
"747",314
"748",314
"749",313
"750",308
"751",307
"752",304
"753",304
"754",300
"755",300
"756",300
"757",300
"758",300
"759",300
"760",300
"761",299
"762",293
"763",293
"764",292
"765",289
"766",284
"767",283
"768",281
"769",280
"770",280
"771",280
"772",280
"773",279
"774",276
"775",275
"776",274
"777",273
"778",272
"779",272
"780",269
"781",269
"782",260
"783",260
"784",259
"785",256
"786",254
"787",251
"788",250
"789",250
"790",250
"791",250
"792",250
"793",250
"794",249
"795",247
"796",242
"797",241
"798",240
"799",238
"800",238
"801",237
"802",233
"803",232
"804",230
"805",230
"806",226
"807",225
"808",225
"809",224
"810",220
"811",220
"812",220
"813",217
"814",215
"815",212
"816",211
"817",210
"818",209
"819",209
"820",206
"821",206
"822",206
"823",205
"824",205
"825",200
"826",200
"827",200
"828",200
"829",200
"830",200
"831",200
"832",200
"833",193
"834",192
"835",192
"836",191
"837",190
"838",190
"839",189
"840",189
"841",189
"842",189
"843",186
"844",185
"845",182
"846",182
"847",180
"848",178
"849",177
"850",177
"851",176
"852",176
"853",175
"854",173
"855",173
"856",173
"857",171
"858",170
"859",170
"860",168
"861",167
"862",167
"863",166
"864",165
"865",163
"866",161
"867",160
"868",159
"869",158
"870",150
"871",150
"872",150
"873",150
"874",150
"875",150
"876",150
"877",150
"878",150
"879",150
"880",148
"881",147
"882",147
"883",147
"884",146
"885",144
"886",144
"887",143
"888",140
"889",140
"890",140
"891",140
"892",139
"893",137
"894",136
"895",136
"896",136
"897",134
"898",134
"899",133
"900",132
"901",131
"902",131
"903",130
"904",130
"905",130
"906",130
"907",130
"908",130
"909",130
"910",129
"911",129
"912",128
"913",128
"914",128
"915",128
"916",125
"917",125
"918",125
"919",125
"920",124
"921",124
"922",124
"923",123
"924",123
"925",122
"926",121
"927",121
"928",120
"929",120
"930",120
"931",120
"932",118
"933",118
"934",118
"935",117
"936",117
"937",116
"938",116
"939",114
"940",113
"941",111
"942",111
"943",110
"944",108
"945",107
"946",106
"947",105
"948",105
"949",104
"950",103
"951",102
"952",102
"953",100
"954",100
"955",100
"956",99
"957",99
"958",92
"959",90
"960",89
"961",86
"962",85
"963",84
